,date,gender,style,roll,yaw,pitch
86,1560,F,Mannerism (Late Renaissance),3.0316694,19.316042,-13.356739
89,1827,M,Romanticism,2.3816586,-7.9876194,-6.821327
91,1776,M,Rococo,0.37897426,-3.0428138,-11.035766
94,1776,F,Rococo,21.06831,-16.22828,-12.275046
95,1832,M,Romanticism,4.974898,21.11219,-5.031043
96,1495,M,High Renaissance,3.1305933,21.983324,0.4139495
97,1483,F,Early Renaissance,-3.6327765,4.9130087,-9.364508
98,1499,M,High Renaissance,-2.2730203,-23.345387,-16.462257
99,1750,M,Rococo,-6.725554,23.776989,-8.102074
100,1889,M,Romanticism,-3.5154712,14.04655,-1.790504
101,1517,M,Northern Renaissance,-2.5831423,8.312126,-15.3061695
102,1640,M,Baroque,-3.1689847,-23.51861,5.0340214
103,1885,M,Romanticism,7.3573637,-30.310772,-16.090153
105,1778,F,Rococo,-4.2953253,4.0161443,-10.437553
106,1434,M,Northern Renaissance,3.8741522,-15.048021,-6.847539
107,1782,F,Rococo,-7.0469723,16.429943,-3.9823275
108,1597,M,Baroque,-5.176396,-5.2759094,-10.459137
109,1640,M,Baroque,9.173018,2.1491723,-21.341827
110,1809,M,Romanticism,12.137999,24.369652,-10.396261
111,1473,M,Early Renaissance,4.4916553,19.09829,-21.97574
112,1797,F,Rococo,-13.392941,17.71273,-11.856077
113,1865,M,Realism,0.1261816,30.531343,-29.159777
114,1823,M,Romanticism,0.4183616,-1.224947,-8.417539
115,1903,M,Realism,2.159246,-18.843266,1.3108926
116,1891,M,Realism,12.395817,-2.6620297,-22.951187
117,1902,M,Realism,7.7625084,-8.826912,0.1372155
118,1800,M,Rococo,3.4369833,-23.435863,-6.5785227
120,1885,M,Realism,2.3473096,2.5322704,-8.812736
121,1959,M,,7.2978973,21.417519,-12.453722
122,1788,M,Rococo,5.020613,13.208084,-19.057964
123,1504,M,High Renaissance,-3.773513,14.134525,-2.7108424
124,1930,M,Dada,0.18758905,8.516989,-13.0207205
126,1658,M,Baroque,1.1016812,6.3391256,-13.868687
127,1460,M,Early Renaissance,-6.654463,21.079796,-11.648683
129,1819,M,Rococo,5.469285,18.458069,-9.592341
130,1913,M,Expressionism,1.243475,16.335133,-11.417494
131,1843,M,Romanticism,0.37751395,-7.41798,-2.2399383
133,1778,M,Rococo,2.0204453,10.1089,-16.683502
134,1891,F,Post-Impressionism,0.79436564,-38.91993,-2.7062395
136,1933,M,,1.9289771,-17.032879,-18.737122
138,1828,M,Romanticism,12.394319,18.82737,-0.103816986
139,1773,M,Rococo,-0.0029119253,10.819971,-10.2343235
140,1788,M,Rococo,-4.458753,-8.137574,-19.63813
141,1800,M,Romanticism,9.630362,19.740686,-15.213685
142,1330,M,Proto Renaissance,-5.1001773,-2.576069,-3.0679934
143,1800,F,Romanticism,6.859254,32.703777,-7.5154653
145,1844,F,Naïve Art (Primitivism),-5.248946,12.548069,-8.526687
146,1960,F,Abstract Expressionism,-6.2326355,-9.129997,-11.427099
148,1928,M,Constructivism,-16.418425,2.5424738,-8.7609625
152,1800,M,Romanticism,15.426993,20.330513,-3.9426694
154,1802,M,Rococo,0.46557844,-20.141258,-4.224979
156,1913,M,Symbolism,-1.8985627,-11.4450655,-10.489782
157,1895,M,Realism,17.875835,21.081291,-7.785158
159,1849,M,Romanticism,-24.253408,21.094471,-18.62041
161,1885,M,Romanticism,-0.65849876,-39.063667,-8.169924
162,1913,M,Art Nouveau (Modern),8.3705,16.432777,-2.6303995
163,1804,F,Naïve Art (Primitivism),-1.964245,14.544006,-13.067713
164,1907,M,Symbolism,1.739919,24.429241,0.5848229
165,1898,M,Expressionism,8.590492,3.8226507,-18.712606
166,1882,F,Neoclassicism,-9.1944475,-29.33006,-14.548466
167,1882,F,Neoclassicism,-9.1944475,-29.33006,-14.548466
168,1865,F,Realism,-6.7613335,-22.367104,-7.4541554
169,1632,M,Baroque,-6.9743876,-19.156128,-7.79291
170,1885,M,Romanticism,5.266324,-16.656942,-4.135948
171,1927,M,,-6.0795493,18.393583,-17.701954
172,1915,F,Naïve Art (Primitivism),5.508999,12.487143,-3.2505298
177,1904,M,Symbolism,-0.15283346,-27.815723,-4.365488
178,1861,M,Romanticism,12.327236,28.945007,-6.2298717
179,1485,M,Northern Renaissance,0.2660389,20.006683,-9.134739
180,1869,M,Realism,11.969759,-31.53061,-10.511464
182,1926,M,Post-Impressionism,2.4211354,-22.917603,-11.763863
183,1540,M,Mannerism (Late Renaissance),-1.3185027,-36.788494,-6.537925
184,1503,M,Northern Renaissance,1.2831092,6.6062617,-8.013971
185,1834,M,Romanticism,10.846106,20.873049,-9.703985
188,1629,M,Baroque,-4.60634,-0.18840027,-18.274115
189,1883,F,Symbolism,-5.1085863,-35.295692,6.3980904
190,1900,M,Expressionism,10.506474,-51.817734,-3.8034532
191,1916,M,Art Nouveau (Modern),-2.987457,-9.132777,-3.1791558
192,1861,F,Neoclassicism,-0.91955304,-8.011021,-7.251736
193,1667,M,Baroque,10.15017,21.359388,-7.1208177
194,1475,M,Northern Renaissance,2.8860455,19.616417,-17.989178
195,1480,M,Northern Renaissance,-1.3365872,-44.438507,-1.2357444
196,1509,M,Northern Renaissance,0.9324151,5.5670824,-11.96488
197,1509,M,Northern Renaissance,0.010585457,-20.797482,-8.097115
200,1912,M,Art Nouveau (Modern),2.8455372,-7.435879,-14.4765835
201,1661,M,Baroque,-8.748981,-4.2178917,-19.10084
202,1907,M,Expressionism,11.408825,18.695347,-6.40335
203,1500,F,High Renaissance,3.754999,24.233475,-9.77412
205,1915,M,Art Nouveau (Modern),-3.4383326,-5.375781,-5.8271956
206,1590,M,Baroque,5.1164713,30.01078,-10.928504
207,1823,M,Romanticism,1.8910043,24.118011,-6.9808035
208,1949,M,Muralism,7.3259926,-4.1318464,-3.9317038
209,1781,F,Rococo,-1.9440383,-17.90066,-7.3491707
210,1906,M,Realism,5.9746246,39.8605,-13.215227
211,1570,M,Mannerism (Late Renaissance),-6.0195174,4.6206427,-8.21497
212,1788,F,Neoclassicism,-6.914898,8.490869,-7.495901
216,1901,M,Art Nouveau (Modern),-2.0379896,-18.665598,-1.1833334
217,1898,M,Expressionism,0.46281338,5.63316,-17.208174
218,1870,F,Japonism,1.5839475,17.862272,-5.85563
221,1903,M,Expressionism,4.451869,-1.5272875,-4.0317907
222,1901,F,Post-Impressionism,3.9303026,24.736101,-3.4621406
223,1500,F,High Renaissance,17.463217,19.582434,-5.7944508
224,1567,M,Mannerism (Late Renaissance),1.9861767,18.672354,-13.212019
226,1541,M,Mannerism (Late Renaissance),7.926503,-40.498238,-1.8931813
227,1794,M,Neoclassicism,0.5533929,-10.794624,-5.762173
229,1864,F,Neoclassicism,14.335386,-27.769333,-15.502444
230,1918,F,Art Nouveau (Modern),1.9730182,7.249106,-5.7856545
231,1655,M,Baroque,5.77794,-21.896938,-2.269649
233,1799,F,Neoclassicism,-10.542957,21.842518,-21.325085
234,1795,F,Neoclassicism,-4.66873,-5.3420815,-5.677351
237,1555,M,Mannerism (Late Renaissance),-1.9999056,-5.985694,-13.251335
239,1542,F,Mannerism (Late Renaissance),6.8359785,23.281067,-10.347579
241,1534,F,High Renaissance,7.254113,-5.4851866,-16.063375
242,1838,M,Romanticism,1.3395319,-35.45043,-8.920387
243,1539,M,Northern Renaissance,-23.679962,37.322536,-10.593318
244,1527,M,Northern Renaissance,16.243645,-15.72592,-21.595041
245,1470,M,Early Renaissance,0.8975034,15.102606,-7.5628395
246,1879,M,Academicism,2.2501607,32.782,-3.608204
247,1926,M,Magic Realism,-6.564645,55.167015,-12.090706
248,1660,F,Baroque,4.076647,-40.724712,-0.39130443
249,1909,M,Expressionism,-0.85305,13.886866,-3.697189
250,1879,F,Impressionism,-16.239447,-19.325506,-2.4190147
251,1480,M,Northern Renaissance,8.566253,-2.3109956,-8.283877
253,1902,F,Symbolism,5.309076,0.6323079,-11.054075
254,1855,M,Neo-Rococo,-1.0787435,-34.909424,-13.968323
255,1815,M,Neoclassicism,3.8002498,-35.41914,-15.125944
257,1428,M,Early Renaissance,-7.301877,18.238876,-14.0103245
258,1893,M,Post-Impressionism,3.6897202,-18.827616,-9.773971
259,1904,M,Expressionism,-2.455465,11.90447,-19.928116
260,1530,M,Northern Renaissance,-3.1616843,-19.721737,-3.2350452
262,1878,M,Impressionism,4.2723246,-8.088409,-9.320493
263,1869,F,Neoclassicism,4.4744177,-4.394519,-19.451427
264,1906,M,Expressionism,5.3582373,19.419443,-6.6369715
265,1877,M,Impressionism,3.694994,-8.661652,-12.546421
267,1881,M,Post-Impressionism,13.62142,-19.867691,-9.69957
268,1896,M,Symbolism,1.6289825,3.360339,-9.687011
269,1880,M,Post-Impressionism,-1.726317,-16.661045,-9.464187
270,1545,M,Mannerism (Late Renaissance),4.418326,-41.199677,-9.466715
271,1545,M,Mannerism (Late Renaissance),-1.9397691,9.083128,-5.712443
272,1935,F,Expressionism,-9.538976,-22.02359,-10.114107
274,1906,F,Expressionism,-0.6790023,-0.17651272,-22.753605
275,1635,F,Tenebrism,1.7217742,-1.721164,-1.9594122
276,1514,F,Northern Renaissance,-17.865105,-8.79532,-5.737748
277,1883,M,Impressionism,3.7826343,24.057896,-4.4889154
278,1552,M,Mannerism (Late Renaissance),1.4948748,27.156458,-3.4705644
280,1853,M,Romanticism,2.5695922,-8.409342,-16.473259
281,1523,M,Northern Renaissance,-0.6379838,-12.7877035,-2.1118696
282,1902,M,Post-Impressionism,-2.895472,-31.988924,0.5601148
283,1538,F,Northern Renaissance,-2.0597064,-1.922442,-8.536655
284,1894,F,Art Nouveau (Modern),-2.3823466,14.722515,-5.871785
285,1465,F,Early Renaissance,-0.0540241,-7.23879,-16.75866
286,1552,F,Mannerism (Late Renaissance),11.83222,48.27648,8.772602
287,1875,M,Impressionism,9.469903,-22.427794,-5.566392
288,1538,F,Mannerism (Late Renaissance),6.0815387,-0.030627966,-6.6773024
289,1908,M,Expressionism,19.798737,24.610546,-10.149447
290,1897,F,Art Nouveau (Modern),4.6463256,13.967279,-15.868529
292,1888,M,Post-Impressionism,6.7191505,3.4187376,-15.715815
293,1890,M,Post-Impressionism,-2.6058323,50.37641,-4.5752244
295,1890,M,Post-Impressionism,-4.239889,-42.529976,0.38227952
296,1899,M,Post-Impressionism,-7.6057653,40.77706,-9.621523
297,1558,M,Mannerism (Late Renaissance),-6.0784316,-41.493988,-0.33105224
298,1554,M,Mannerism (Late Renaissance),-21.471497,10.148872,-14.058242
299,1879,M,Neoclassicism,-8.090279,20.123283,-3.6478736
300,1538,M,Northern Renaissance,14.549106,27.015316,1.7027972
301,1532,M,Mannerism (Late Renaissance),5.4268837,16.205626,-13.88034
302,1550,F,Mannerism (Late Renaissance),-9.336434,5.9843893,-13.910387
304,1540,F,Mannerism (Late Renaissance),-2.708369,2.9212472,-5.8363733
305,1500,F,High Renaissance,0.7778724,29.890554,-0.27761793
307,1520,F,High Renaissance,-11.40155,4.7157164,-5.784172
308,1498,F,High Renaissance,-20.58537,7.51604,-9.517113
309,1525,M,High Renaissance,1.946307,-35.997654,-16.686749
310,1895,M,Impressionism,-2.4699175,13.988591,4.612804
311,1892,F,Post-Impressionism,-5.810293,11.791102,-17.077301
312,1884,M,Post-Impressionism,0.66467655,-23.14588,-14.106279
314,1542,M,Northern Renaissance,6.0287657,-5.731472,-11.741203
315,1890,F,Post-Impressionism,-5.8858643,-14.105577,-4.99363
316,1520,M,Mannerism (Late Renaissance),-2.4539456,39.89761,-13.289356
317,1908,M,Art Nouveau (Modern),-4.011409,6.1909456,-9.150396
318,1523,M,High Renaissance,-7.3344183,22.991816,-14.232106
319,1904,M,Expressionism,1.9171312,6.1098604,-8.705415
320,1638,M,Baroque,-2.7646,10.249946,-12.160576
321,1895,M,Art Nouveau (Modern),3.3798962,4.8789167,-1.7901496
322,1517,M,High Renaissance,1.3368242,4.255338,-10.035965
323,1894,M,Realism,1.1476935,36.30142,-6.9147625
325,1550,M,Mannerism (Late Renaissance),-1.7393055,23.05061,-13.725813
327,1902,F,Post-Impressionism,-6.774781,0.9272618,-27.045507
328,1500,M,High Renaissance,-2.6135268,-1.5622756,-13.827246
330,1500,M,Northern Renaissance,-11.004796,13.475948,-13.660166
331,1883,M,Academicism,6.759831,35.263233,3.404814
332,1869,M,Impressionism,-3.5537145,-48.27976,0.0021867156
333,1499,M,Northern Renaissance,5.075982,-2.865767,-14.185339
334,1515,M,Northern Renaissance,2.0076628,-43.875847,-12.215067
335,1544,M,Mannerism (Late Renaissance),-5.5819616,8.222874,-5.0489283
336,1478,F,Early Renaissance,4.4872546,-2.7526155,-15.78401
337,1867,F,Neoclassicism,12.8681345,14.375101,-9.202316
339,1528,M,Northern Renaissance,7.52112,-11.251189,-4.4992747
340,1522,M,Northern Renaissance,-11.815614,-12.612431,-17.938816
341,1515,M,Northern Renaissance,-3.6805704,24.45583,-13.280169
342,1540,M,Mannerism (Late Renaissance),18.254364,15.394839,-3.7766662
343,1548,F,Mannerism (Late Renaissance),1.6286277,17.631367,-12.265106
344,1493,M,High Renaissance,28.728912,-14.018951,-14.105607
345,1531,M,Mannerism (Late Renaissance),-2.1632564,-25.727596,-12.067163
346,1522,M,High Renaissance,12.222518,-54.97808,-11.913475
347,1544,F,Mannerism (Late Renaissance),10.681418,15.6921015,10.776052
348,1511,M,Northern Renaissance,-12.889552,16.271114,-18.640945
349,1495,M,High Renaissance,-22.399178,33.482597,-10.051883
350,1511,M,Northern Renaissance,4.981558,4.6453857,-22.998524
351,1870,M,Romanticism,1.7465475,-9.809977,-10.565443
352,1516,M,Northern Renaissance,-1.7296011,-11.707565,-7.865504
353,1904,M,Post-Impressionism,7.24944,-37.589134,-17.200436
354,1890,M,Post-Impressionism,11.934102,18.499828,-8.616541
355,1880,M,Post-Impressionism,-2.4244666,14.923067,-13.875376
356,1493,M,High Renaissance,-3.6810877,38.24512,0.4997511
358,1516,M,Northern Renaissance,-3.8867433,-16.03525,-0.13226563
359,1872,M,Realism,-3.8006377,58.66107,1.6123605
360,1866,M,Romanticism,1.0520368,-19.348822,-16.228588
361,1885,F,Realism,11.057964,22.6633,-11.943584
362,1900,M,Post-Impressionism,2.797799,29.586617,-14.875374
363,1970,M,Expressionism,2.9193392,-7.3951154,-15.73601
364,1918,M,Symbolism,5.085734,-11.002067,-22.665318
367,1903,F,Post-Impressionism,-16.053656,-5.084017,-27.351454
368,1527,M,Northern Renaissance,0.9578016,-34.355347,-4.659497
369,1900,M,Post-Impressionism,2.2340112,-0.1815592,-13.307657
370,1725,M,Baroque,14.486579,25.219002,-9.90464
371,1835,M,Romanticism,2.2738059,18.38845,-20.518917
372,1886,M,Symbolism,-2.1521964,-10.853857,-14.310327
373,1522,M,Mannerism (Late Renaissance),-8.901775,63.83651,-23.629475
374,1756,F,Rococo,-5.7447886,13.985034,-6.41284
375,1860,M,Academicism,-1.9325757,-0.020848632,-13.889186
377,1607,M,Baroque,4.6790047,-37.488827,-16.621544
378,1848,M,Realism,2.2110882,26.176708,-33.812355
379,1578,M,Mannerism (Late Renaissance),1.0821737,45.747787,10.657456
380,1869,F,Impressionism,-0.030528963,5.911582,-11.101151
381,1530,M,Mannerism (Late Renaissance),-7.502445,34.61415,-3.0875945
382,1875,M,Impressionism,6.5730352,-19.323967,-14.838391
383,1473,M,Early Renaissance,4.4778595,6.972433,-19.127388
384,1895,M,Post-Impressionism,4.3701763,-42.324158,-4.2100577
385,1853,M,Realism,1.7684088,-22.854881,-5.0139775
386,1853,M,Romanticism,1.7684088,-22.854881,-5.0139775
387,1884,M,Impressionism,-4.290736,-35.32637,-6.236038
388,1902,M,Expressionism,-4.226631,16.440672,-19.182892
390,1867,M,Impressionism,-1.873689,-22.395306,-3.3743875
391,1902,F,Expressionism,2.3013794,11.242859,-18.860218
392,1499,M,High Renaissance,-20.681261,19.428421,-21.204617
394,1925,M,Magic Realism,-15.3361,5.382187,-13.583115
395,1744,F,Rococo,10.526422,28.259483,0.19954872
396,1890,M,Cloisonnism,1.2721782,-1.4602299,-4.6620226
398,1867,M,Impressionism,13.41053,25.44892,-2.0551438
399,1857,M,Realism,5.772951,12.685794,-11.780085
400,1550,M,Mannerism (Late Renaissance),-12.927538,6.286794,-15.650518
401,1908,M,Post-Impressionism,-6.34968,9.670556,-7.1922455
402,1879,M,Impressionism,0.9929486,-29.245842,-11.2584305
403,1869,M,Impressionism,-14.224334,-1.889848,-4.5622516
404,1930,M,Post-Impressionism,0.070755124,-31.353283,-6.1480837
405,1873,F,Realism,-11.717501,-28.503479,-24.401608
408,1520,M,Northern Renaissance,9.846955,-20.263771,-5.890334
409,1546,M,Mannerism (Late Renaissance),2.2704463,-42.9487,-5.791199
410,1872,M,Romanticism,-0.6732843,-40.21563,-2.5058982
415,1872,M,Realism,0.17834938,36.38199,-5.800218
416,1625,M,Tenebrism,-8.573007,3.7595937,-15.073761
418,1538,M,High Renaissance,-12.22917,-32.086555,-10.555923
419,1811,M,Romanticism,-5.087631,14.53318,2.2960644
420,1877,M,Romanticism,2.7043188,-60.570972,12.114555
421,1545,M,Mannerism (Late Renaissance),-0.22300845,7.217275,-11.534929
422,1661,M,Baroque,-0.09529734,-19.793716,-9.316925
423,1886,F,Impressionism,-0.008944452,28.763159,-7.588097
424,1478,M,Early Renaissance,11.970954,-14.62085,-11.500462
425,1635,M,Tenebrism,4.403918,-36.181442,-22.959066
426,1879,F,Academicism,-6.9154215,-24.27636,0.3218994
428,1620,M,Tenebrism,4.65474,-5.314111,-8.233546
430,1909,M,Post-Impressionism,-6.300705,-25.291477,-0.118885875
431,1928,F,Post-Impressionism,3.8545723,1.5585921,-12.049037
432,1506,F,Northern Renaissance,10.839624,-9.3284855,-17.70966
434,1879,M,Impressionism,-1.2524476,-7.7500854,-5.2496777
435,1470,M,Northern Renaissance,-1.9103928,-25.8878,-14.581825
436,1740,M,Rococo,-1.5331483,-22.46669,-4.812894
438,1515,M,Northern Renaissance,-2.263792,-24.735817,-7.867738
439,1634,M,Baroque,-6.6728683,50.398766,-8.03615
440,1895,F,Naïve Art (Primitivism),1.3323753,-7.7366133,-4.206945
445,1963,F,Pop Art,-4.8970633,-27.206936,-30.832884
446,1771,M,Rococo,2.3900692,-7.06521,-8.779706
447,1533,M,High Renaissance,6.8622274,30.759998,-8.353382
450,1872,F,Romanticism,-16.67373,-54.135925,-4.8464074
451,1905,M,Magic Realism,22.096764,-17.022436,-14.316008
453,1895,M,Art Nouveau (Modern),22.43462,-50.03913,-19.537119
455,1906,F,Magic Realism,-1.1968315,17.638338,-18.294464
458,1876,M,Impressionism,0.1299448,-6.767415,-8.76782
461,1493,F,High Renaissance,-7.8343763,-1.3048543,-10.652155
462,1909,F,Expressionism,1.8497962,-8.558777,-11.352218
463,1508,M,High Renaissance,-5.1202316,7.274067,-10.223811
464,1829,M,Realism,-3.3288496,10.970265,-11.034082
465,1510,M,High Renaissance,-12.764692,35.854507,16.444572
466,1867,F,Neoclassicism,8.570962,-4.5086293,-14.073064
468,1775,M,Neoclassicism,3.4396544,-19.72015,-5.3501277
469,1859,M,Romanticism,-3.56672,-19.915905,-12.898614
474,1900,M,Art Nouveau (Modern),-6.813717,-12.556764,-10.034393
475,1970,M,Pop Art,-4.9225698,33.912613,-18.663008
476,1527,M,Northern Renaissance,-13.396334,-35.11229,-15.732534
477,1851,F,Romanticism,12.147622,-37.154724,-11.261666
478,1546,M,Mannerism (Late Renaissance),10.4844265,14.919697,-6.11657
479,1895,F,Naïve Art (Primitivism),1.5229082,11.476498,-13.358604
485,1520,M,High Renaissance,3.2478058,-17.38913,1.0584011
486,1782,F,Rococo,-13.144558,0.4438455,-6.7291975
487,1871,M,Academicism,-6.972689,21.45332,-8.301972
488,1884,F,Academicism,-6.212974,-37.542,-18.229359
490,1879,M,Impressionism,-1.1095287,43.882736,-4.044673
491,1498,M,Northern Renaissance,5.464951,-30.19576,-16.138285
492,1863,M,Neo-Rococo,-0.41143548,16.26348,-5.29303
493,1672,F,Baroque,1.0793309,18.790714,-12.39937
495,1857,M,Neoclassicism,11.7930355,-36.077908,-24.219032
496,1814,F,Neoclassicism,2.0215328,-30.194286,-9.908362
498,1884,M,Neoclassicism,-10.785062,21.452032,13.446988
500,1901,M,Realism,-17.728407,14.436661,-13.189049
503,1858,M,Impressionism,-0.81721926,-30.595716,-6.5103045
504,1898,M,Symbolism,2.269719,9.370897,-8.77599
505,1888,M,Post-Impressionism,4.9747705,11.973181,-0.58502114
507,1910,F,Art Nouveau (Modern),-6.975624,31.051723,-2.6476076
508,1776,M,Rococo,5.7292595,-8.228825,-10.029358
509,1878,M,Realism,2.1518698,16.311762,-4.3660393
510,1912,M,Realism,0.47849807,-22.127007,-13.827484
511,1837,M,Romanticism,6.8088164,1.993576,-4.4892993
512,1770,M,Rococo,1.9720509,-7.71694,-19.376793
515,1650,F,Baroque,-2.2557528,15.933357,-9.222041
516,1886,M,Art Nouveau (Modern),-12.231023,29.7591,-13.075962
517,1759,F,Rococo,0.50647694,-22.172058,-7.5824156
518,1868,M,Realism,11.261686,10.321229,-28.249094
519,1925,M,Realism,8.4759865,-30.940727,-16.576588
524,1807,F,Neoclassicism,4.913095,64.45352,-1.1561242
525,1868,F,Romanticism,4.5568414,-15.041334,-17.155062
526,1894,M,Academicism,3.7580733,31.697905,-3.9476779
527,1632,M,Baroque,2.4368834,-1.9986701,-8.031478
529,1902,F,Post-Impressionism,4.334926,24.286192,-6.099263
532,1852,M,Academicism,-18.18211,14.100387,-17.905045
533,1895,F,Realism,0.89690727,8.329511,-6.264024
536,1506,F,Northern Renaissance,10.855122,-36.555393,-2.1857955
537,1903,M,Expressionism,-1.929542,24.622532,-8.063612
538,1914,F,Art Nouveau (Modern),-2.3081746,-19.548054,-7.840802
539,1777,F,Neoclassicism,11.736874,-26.013842,-10.30033
540,1903,M,Art Nouveau (Modern),-1.0893747,-38.30063,-6.9390116
542,1817,M,Romanticism,1.1614536,14.885292,-6.6962795
543,1874,M,Realism,-6.5951424,-13.3325615,-4.8271284
544,1895,F,Orientalism,0.339706,34.80143,1.1117954
546,1666,M,Baroque,-6.5904226,31.469837,-18.601131
547,1875,F,Romanticism,-9.318356,18.414093,-3.002189
549,1641,F,Baroque,17.532701,-25.9929,-23.998064
551,1503,M,Northern Renaissance,13.745947,10.269102,-1.5356727
554,1811,M,Neoclassicism,10.639601,15.741677,-8.867286
555,1885,M,Realism,1.2628303,16.409878,-13.607099
561,1543,M,High Renaissance,-10.134013,-4.9603724,-14.022666
562,1932,M,Impressionism,3.915975,-14.417394,0.9698868
564,1921,M,,-3.1903791,-11.271887,-19.40905
565,1635,M,Baroque,4.259162,-14.587257,-16.042965
566,1485,M,Early Renaissance,-1.8762639,8.880877,-16.561817
567,1888,M,Post-Impressionism,9.565099,19.414707,-9.977036
573,1650,M,Baroque,11.252516,-20.295044,-6.3636518
577,1911,F,American Realism,-3.450085,-4.2246776,-18.588951
578,1494,M,High Renaissance,2.624311,16.142647,-7.7474465
579,1540,F,Mannerism (Late Renaissance),8.837709,2.300999,-13.669341
580,1310,F,Proto Renaissance,2.8603835,-14.115503,-13.795397
581,1606,M,Baroque,-25.722408,11.150661,-19.713749
582,1903,M,Expressionism,1.9111521,22.030842,-13.3172455
586,1650,M,Baroque,-1.7706928,18.13722,-4.3904424
587,1853,F,Neoclassicism,-5.8911343,-15.411633,-7.7814665
588,1605,M,Baroque,-8.294037,33.105503,-14.509633
590,1897,M,Art Nouveau (Modern),4.6079144,2.6898534,-15.223619
592,1879,M,Impressionism,0.8534939,-0.6041515,-18.135109
594,1966,M,Metaphysical art,-1.3107492,7.183279,2.9221969
595,1493,M,Northern Renaissance,-1.9042385,-23.117489,-3.7130609
598,1635,F,Baroque,-1.008123,15.728273,-3.6712885
600,1774,M,Rococo,4.6588445,-19.924583,-2.6130662
601,1897,M,Art Nouveau (Modern),-0.67109543,-17.512445,-4.5869336
